@ Codigo CNO-11: 1111,"MIEMBROS DEL PODER EJECUTIVO (NACIONAL, AUTONOMICO Y LOCAL) Y DEL PODER LEGISLATIVO",,,,,,,,,
"GPR:
F; G; J; L","SECTOR DE ACTIVIDAD (CNAE):
?  84: Administracion Publica y defensa; Seguridad Social obligatoria",,,,,,,,,
"OCUPACIONES INCLUIDAS:
-  Presidentes del Gobierno
-  Ministros del gobierno
-  Diputados al Parlamento
"POSIBLES RIESGOS DERIVADOS DEL AMBIENTE LABORAL:
- No constan",,,,,,,,,,
"POSIBLES RIESGOS DERIVADOS DEL MATERIAL/HERRAMIENTAS DE TRABAJO:
- Utilizacion de pantallas de visualizacion de datos",,,,,,,,,,
"CIRCUNSTANCIAS ESPECIFICAS DEL MEDIO LABORAL:
- Posibilidad de jornada laboral amplia y/o irregular",,,,,,,,,,
,,,,,,,,,,
@ Codigo CNO-11:  1112,PERSONAL DIRECTIVO DE LA ADMINISTRACION PUBLICA,,,,,,,,,
"GPR:
F; G; J; L","SECTOR DE ACTIVIDAD (CNAE):
- 84: Administracion Publica, Defensa y Seguridad Social obligatoria",,,,,,,,,
"OCUPACIONES INCLUIDAS:
-  Embajadores
-  Consules generales
-  Subsecretarios de Estado
-  Directores de la funcion publica",,"OCUPACIONES AFINES NO INCLUIDAS:
-  No constan",,,,,,,,
"REFERENCIAS:
Cualificacion profesional (CNCP): no existe
Permisos administrativos: no requiere certificacion especifica",,,,,,,,,,
"COMPETENCIAS Y TAREAS:
El  personal  directivo  de  la  administracion  publica  asesora  a  esta  en  los  asuntos  politicos,  vigila  la interpretacion  y  aplicacion  de  la  politica  publica  y  de  la  legislacion  por  los  organos  publicos;  actua  en nombre  y  representacion  del  pais  en  el  extranjero  o  desempena  tareas  similares  en  organizaciones intergubernamentales.  Planifica,  organiza,  orienta,  controla  y  evalua  las  actividades  generales  de  los departamentos, organos, agencias o comisiones del gobierno nacional o de los gobiernos de la region o de la  provincia  o  colectividad  local,  de  conformidad  con  la  legislacion  y  las  politicas  del  gobierno  o  de  los organos legislativos.
Entre sus tareas se incluyen:
-  asesorar  en  los  asuntos  politicos  a  la  administracion  publica  y  al  organo  legislativo  nacional  o  del Estado federado o de la provincia, region o colectividad local;
-  asesorar en la preparacion de los presupuestos publicos, asi como de las leyes y reglamentos, incluidas sus enmiendas;
-  establecer  objetivos  para  los  organos  publicos  de  conformidad  con  la  legislacion  y  la  politica  de  la administracion publica;
-  elaborar o aprobar y evaluar programas y procedimientos para la aplicacion de las politicas publicas junto con la propia administracion publica o en consulta con ella;
-  recomendar,  examinar,  evaluar  y  aprobar  documentos,  notas  e  informes  presentados  por  otros directivos de la administracion publica de nivel medio o superior;
-  velar por la elaboracion y aplicacion de sistemas y procedimientos adecuados para la realizacion del control presupuestario;
-  coordinar las actividades con los demas directivos y funcionarios de la administracion publica;
-  presentar a comisiones legislativas o de la administracion publica politicas, programas o presupuestos;
-  controlar la interpretacion y aplicacion de la politica publica y de la legislacion por los organos publicos.",,,,,,,,,,
"POSIBLES MENCIONES EN EL CUADRO DE ENFERMEDADES PROFESIONALES:
-  No se contemplan de manera especifica",,,,,,,,,,
Codigo CNO-11: 1112,PERSONAL DIRECTIVO DE LA ADMINISTRACION PUBLICA,,,,,,,,,
REQUERIMIENTOS,GRADO,,,,,REQUERIMIENTOS,GRADO,,,
,1,2,3,4,,,1,2,3,4
Carga fisica,X,,,,,Carga mental,,,,
Carga biomecanica,,,,,,Comunicacion,,,X,
Columna cervical,X,,,,,Atencion al publico,,X,,
Columna dorsolumbar,X,,,,,Toma de decisiones,,,,X
Hombro,X,,,,,Atencion/complejidad,,,,X
Codo,X,,,,,Apremio,,X,,
Mano,X,,,,,Dependencia,X,,,
Cadera,X,,,,,Vision,,,,
Rodilla,X,,,,,Agudeza visual,,,X,
Tobillo/pie,X,,,,,Campo visual,,X,,
Manejo de cargas,X,,,,,Audicion,,X,,
Trabajo de precision,X,,,,,Voz,,,X,
Sedestacion,,,X,,,Sensibilidad,,,,
Bipedestacion,,,,,,Superficial,X,,,
Estatica,X,,,,,Profunda,X,,,
Dinamica,X,,,,,,,,,
Marcha por terreno irregular,X,,,,,,,,,
POSIBLES RIESGOS Y CIRCUNSTANCIAS ESPECIFICAS,,,,,,,,,,
"POSIBLES RIESGOS DERIVADOS DEL AMBIENTE LABORAL:
- No constan",,,,,,,,,,
"POSIBLES RIESGOS DERIVADOS DEL MATERIAL/HERRAMIENTAS DE TRABAJO:
- Utilizacion de pantallas de visualizacion de datos",,,,,,,,,,
"CIRCUNSTANCIAS ESPECIFICAS DEL MEDIO LABORAL:
- Posibilidad de jornada laboral amplia y/o irregular",,,,,,,,,,
,,,,,,,,,,
@ Codigo CNO-11: 1113,DIRECTORES DE ORGANIZACIONES DE INTERES SOCIAL,,,,,,,,,
"GPR:
F; G; J; L","SECTOR DE ACTIVIDAD (CNAE):
?  84: Administracion Publica y defensa; Seguridad Social obligatoria",,,,,,,,,
"OCUPACIONES INCLUIDAS:
-  Dirigentes, partido politico
-  Dirigentes, organizacion empresarial
-  Dirigentes, sindicato de trabajadores
-  Dirigentes, organizacion humanitaria
-  Dirigentes, fundacion",,"OCUPACIONES AFINES NO INCLUIDAS:
- No constan",,,,,,,,
"REFERENCIAS:
Cualificacion profesional (CNCP):  no existe
Permisos administrativos: no requiere certificacion especifica",,,,,,,,,,
"COMPETENCIAS Y TAREAS:
Los  directores  de  organizaciones  de  interes  social  definen,  formulan  y  orientan  la  politica  de  estas organizaciones,  tales  como  partidos  politicos,  sindicatos,  organizaciones  de  empleadores,  asociaciones industriales, organizaciones humanitarias o de beneficencia y asociaciones deportivas, representan a las organizaciones y actuan en su nombre.
Entre sus tareas se incluyen:
-  definir y formular la politica, los estatutos y reglamentos de la organizacion;
-  planificar, dirigir y coordinar el funcionamiento general de la organizacion;
-  examinar  las  operaciones  y  resultados  de  la  organizacion  e  informar  al  consejo  de  direccion  y  a  los organos directivos, a los miembros de la organizacion y a las entidades que aporten financiacion;
-  realizar negociaciones en nombre de la organizacion, de sus miembros y de los grupos relevantes de interes social;
-  defender  los   intereses  de  la  organizacion  y  de  sus  miembros  ante  los  organos  legislativos,  la administracion publica o el publico en general;
-  planificar,  organizar  y  orientar  las  actividades  de  los  organos  encargados  de  aplicar  las  politicas, estatutos y reglamentos de la organizacion;
-  velar por la elaboracion y aplicacion de sistemas y procedimientos adecuados para la realizacion del control presupuestario;
-  supervisar y evaluar el funcionamiento de la organizacion o empresa a tenor de los objetivos y politicas establecidos;
-  representar a la organizacion en actos oficiales y reuniones de organos directivos, en negociaciones y en convenciones, audiencias publicas y foros.",,,,,,,,,,
"POSIBLES MENCIONES EN EL CUADRO DE ENFERMEDADES PROFESIONALES:
-  No se contemplan de manera especifica",,,,,,,,,,
Codigo CNO-11: 1113,DIRECTORES DE ORGANIZACIONES DE INTERES SOCIAL,,,,,,,,,
REQUERIMIENTOS,GRADO,,,,,REQUERIMIENTOS,GRADO,,,
,1,2,3,4,,,1,2,3,4
Carga fisica,X,,,,,Carga mental,,,,
Carga biomecanica,,,,,,Comunicacion,,,,X
Columna cervical,X,,,,,Atencion al publico,,X,,
Columna dorsolumbar,X,,,,,Toma de decisiones,,,,X
Hombro,X,,,,,Atencion/complejidad,,,,X
Codo,X,,,,,Apremio,,X,,
Mano,X,,,,,Dependencia,X,,,
Cadera,X,,,,,Vision,,,,
Rodilla,X,,,,,Agudeza visual,,,X,
Tobillo/pie,X,,,,,Campo visual,,X,,
Manejo de cargas,X,,,,,Audicion,,X,,
Trabajo de precision,X,,,,,Voz,,,X,
Sedestacion,,,X,,,Sensibilidad,,,,
Bipedestacion,,,,,,Superficial,X,,,
Estatica,X,,,,,Profunda,X,,,
Dinamica,X,,,,,,,,,
Marcha por terreno irregular,X,,,,,,,,,
POSIBLES RIESGOS Y CIRCUNSTANCIAS ESPECIFICAS,,,,,,,,,,
"POSIBLES RIESGOS DERIVADOS DEL AMBIENTE LABORAL:
- No constan",,,,,,,,,,
"POSIBLES RIESGOS DERIVADOS DEL MATERIAL/HERRAMIENTAS DE TRABAJO:
- Utilizacion de pantallas de visualizacion de datos",,,,,,,,,,
"CIRCUNSTANCIAS ESPECIFICAS DEL MEDIO LABORAL:
- Posibilidad de jornada laboral amplia y/o irregular",,,,,,,,,,
,,,,,,,,,,
@ Codigo CNO-11: 1120,DIRECTORES GENERALES Y PRESIDENTES EJECUTIVOS,,,,,,,,,
"GPR:
F; G; J; L","SECTOR DE ACTIVIDAD (CNAE):
?  En  sector  publico:  84:  Administracion  Publica  y  defensa;  Seguridad Social obligatoria
?  En   sector   privado:   pueden   desarrollar   su   actividad   en   numerosos sectores de actividad economica",,,,,,,,,
"OCUPACIONES INCLUIDAS:
-  Directores generales, empresa privada
-  Directores generales, empresa publica
-  Presidentes ejecutivos
-  Rectores de universidades",,"OCUPACIONES AFINES NO INCLUIDAS:
- No constan",,,,,,,,
"REFERENCIAS:
Cualificacion profesional (CNCP):  no existe
Permisos administrativos: no requiere certificacion especifica",,,,,,,,,,
"COMPETENCIAS Y TAREAS:
Los directores generales y presidentes ejecutivos elaboran y examinan las politicas y planifican, orientan, coordinan   y   evaluan   las   actividades   generales   de   las   empresas   u   organizaciones   (excepto   las organizaciones de interes social y los organos publicos) con la asistencia de otros directivos, siguiendo, en general,  la  orientacion  impartida  por  el  consejo  de  direccion  u  otro  organo  directivo,  ante  quien  son responsables de los resultados obtenidos y de las actividades realizadas.
Nota:  Los  directores  generales  y  presidentes  ejecutivos  y  los  demas  altos  directivos  que  coordinan  y supervisan  las  actividades  de  los  directores  subordinados  responsables  de  una  variada  gama  de  tareas funcionales deben incluirse en el grupo primario 1120, Directores generales y presidentes ejecutivos. Los directores  responsables  de  funciones  especializadas  en  una  zona  geografica  concreta  estan  excluidos  de este  grupo  primario.  Por  ejemplo,  los  directores  regionales  de  ventas  estan  clasificados  en  el  grupo primario 1221, Directores comerciales y de ventas.
Los  puestos  de  trabajo  cuya  principal  funcion  es  participar  en  el  consejo  de  direccion  de  una  o  mas empresas u organizaciones estan incluidos en el grupo primario 1120, Directores generales y presidentes ejecutivos.  Los  gerentes  generales  de  empresas  publicas  estan  incluidos  en  el  grupo  primario  1120, Directores generales y presidentes ejecutivos.
Entre sus tareas se incluyen:
-  planificar, orientar y coordinar el funcionamiento general de la empresa u organizacion;
-  examinar  las  actividades  y  resultados  de  la  empresa  u  organizacion  y comunicar  esta informacion  al consejo de direccion o a los organos directivos;
-  establecer objetivos, estrategias, politicas y programas para la empresa u organizacion;
-  asumir el liderazgo general y la gestion de la empresa u organizacion;
-  establecer  y  gestionar  presupuestos,  controlar  los  gastos  y  asegurar  la  utilizacion  eficiente  de  los recursos;
-  autorizar los recursos materiales, humanos y financieros para la ejecucion de las politicas y programas de la organizacion;
-  supervisar y evaluar el funcionamiento de la empresa a tenor de los objetivos y politicas establecidos;
-  consultar con el personal de alto nivel subordinado y examinar sus recomendaciones e informes;
-  representar a la organizacion en actos oficiales y reuniones de organos directivos, en negociaciones y en convenciones, seminarios, audiencias publicas y foros;
-  seleccionar al personal de alto nivel o aprobar su seleccion;
-  velar por que la organizacion cumpla las leyes y reglamentos en vigor.",,,,,,,,,,
"POSIBLES MENCIONES EN EL CUADRO DE ENFERMEDADES PROFESIONALES:
-  No se contemplan de manera especifica",,,,,,,,,,
Codigo CNO-11: 1120,DIRECTORES GENERALES Y PRESIDENTES EJECUTIVOS,,,,,,,,,
REQUERIMIENTOS,GRADO,,,,,REQUERIMIENTOS,GRADO,,,
,1,2,3,4,,,1,2,3,4
Carga fisica,X,,,,,Carga mental,,,,
Carga biomecanica,,,,,,Comunicacion,,,,X
Columna cervical,X,,,,,Atencion al publico,,X,,
Columna dorsolumbar,X,,,,,Toma de decisiones,,,,X
Hombro,X,,,,,Atencion/complejidad,,,,X
Codo,X,,,,,Apremio,,X,,
Mano,X,,,,,Dependencia,X,,,
Cadera,X,,,,,Vision,,,,
Rodilla,X,,,,,Agudeza visual,,,X,
Tobillo/pie,X,,,,,Campo visual,,X,,
Manejo de cargas,X,,,,,Audicion,,X,,
Trabajo de precision,X,,,,,Voz,,,X,
Sedestacion,,,X,,,Sensibilidad,,,,
Bipedestacion,,,,,,Superficial,X,,,
Estatica,X,,,,,Profunda,X,,,
Dinamica,X,,,,,,,,,
Marcha por terreno irregular,X,,,,,,,,,
POSIBLES RIESGOS Y CIRCUNSTANCIAS ESPECIFICAS,,,,,,,,,,
"POSIBLES RIESGOS DERIVADOS DEL AMBIENTE LABORAL:
- No constan",,,,,,,,,,
"POSIBLES RIESGOS DERIVADOS DEL MATERIAL/HERRAMIENTAS DE TRABAJO:
- Utilizacion de pantallas de visualizacion de datos",,,,,,,,,,
"CIRCUNSTANCIAS ESPECIFICAS DEL MEDIO LABORAL:
- Posibilidad de jornada laboral amplia y/o irregular",,,,,,,,,,
,,,,,,,,,,
@ Codigo CNO-11:  1211,DIRECTORES FINANCIEROS,,,,,,,,,
"GPR:
F; G; J; L","SECTOR DE ACTIVIDAD (CNAE):
?  En  sector  publico:  84:  Administracion  Publica  y  defensa;  Seguridad Social obligatoria
?  En  sector  privado:  64:  Servicios  financieros,  excepto  seguros  y  fondos de pensiones",,,,,,,,,
"OCUPACIONES INCLUIDAS:
-  Directores financieros
-  Directores de departamentos de contabilidad
-  Directores de departamentos de costes
-  Directores de departamentos de presupuestos",,"OCUPACIONES AFINES NO INCLUIDAS:
- 1327: Gerentes de sucursales de servicios financieros
- 2611: Especialistas en contabilidad",,,,,,,,
"REFERENCIAS:
Cualificacion profesional (CNCP): no existe
Permisos administrativos: no requiere certificacion especifica",,,,,,,,,,
"COMPETENCIAS Y TAREAS:
Los  directores  financieros  planifican,  dirigen  y  coordinan  las  operaciones  financieras  de  una  empresa  u organizacion  en  consulta  con  el  consejo  de direccion  y  con  los  directores  de  otros  departamentos  o  de otras empresas que presten servicios financieros a esta empresa u organizacion.
Entre sus tareas se incluyen:
-  planificar, dirigir y coordinar las operaciones financieras de la empresa u organizacion;
-  evaluar la situacion financiera de la empresa u organizacion, preparar los presupuestos y controlar las operaciones financieras;
-  consultar con el gerente general y con los directores de otros departamentos;
-  establecer  y  gestionar  presupuestos,  controlar  los  gastos  y  asegurar  la  utilizacion  eficiente  de  los recursos;
-  establecer y dirigir los procedimientos operativos y administrativos;
-  planificar y dirigir el trabajo diario;
-  controlar la seleccion, formacion y rendimiento del personal;
-  representar a la empresa u organizacion en las relaciones con entidades externas.",,,,,,,,,,
"POSIBLES MENCIONES EN EL CUADRO DE ENFERMEDADES PROFESIONALES:
-  No se contemplan de manera especifica.",,,,,,,,,,
Codigo CNO-11: 1211,DIRECTORES FINANCIEROS,,,,,,,,,
REQUERIMIENTOS,GRADO,,,,,REQUERIMIENTOS,GRADO,,,
,1,2,3,4,,,1,2,3,4
Carga fisica,X,,,,,Carga mental,,,,
Carga biomecanica,,,,,,Comunicacion,,,X,
Columna cervical,X,,,,,Atencion al publico,,X,,
Columna dorsolumbar,X,,,,,Toma de decisiones,,,,X
Hombro,X,,,,,Atencion/complejidad,,,,X
Codo,X,,,,,Apremio,,X,,
Mano,X,,,,,Dependencia,X,,,
Cadera,X,,,,,Vision,,,,
Rodilla,X,,,,,Agudeza visual,,,X,
Tobillo/pie,X,,,,,Campo visual,,X,,
Manejo de cargas,X,,,,,Audicion,,X,,
Trabajo de precision,X,,,,,Voz,,,X,
Sedestacion,,,X,,,Sensibilidad,,,,
Bipedestacion,,,,,,Superficial,X,,,
Estatica,X,,,,,Profunda,X,,,
Dinamica,X,,,,,,,,,
Marcha por terreno irregular,X,,,,,,,,,
POSIBLES RIESGOS Y CIRCUNSTANCIAS ESPECIFICAS,,,,,,,,,,
"POSIBLES RIESGOS DERIVADOS DEL AMBIENTE LABORAL:
- No constan",,,,,,,,,,
"POSIBLES RIESGOS DERIVADOS DEL MATERIAL/HERRAMIENTAS DE TRABAJO:
- Utilizacion de pantallas de visualizacion de datos",,,,,,,,,,
"CIRCUNSTANCIAS ESPECIFICAS DEL MEDIO LABORAL:
- Posibilidad de jornada laboral amplia y/o irregular",,,,,,,,,,
,,,,,,,,,,
@ Codigo CNO-11: 1212,DIRECTORES DE RECURSOS HUMANOS,,,,,,,,,
"GPR:
F; G; J; L","SECTOR DE ACTIVIDAD (CNAE):
?  En  sector  publico:  84:  Administracion  Publica  y  defensa;  Seguridad Social obligatoria.
?  En   sector   privado:   pueden   desarrollar   su   actividad   en   numerosos sectores de actividad economica",,,,,,,,,
"OCUPACIONES INCLUIDAS:
-  Directores de departamentos de recursos humanos
-  Directores de departamentos de relaciones laborales
-  Directores de seleccion de personal
-  Directores de contratacion
-  Directores de formacion de personal",,"OCUPACIONES AFINES NO INCLUIDAS:
- No constan",,,,,,,,
"REFERENCIAS:
Cualificacion profesional (CNCP):  no existe
Permisos administrativos: no requiere certificacion especifica",,,,,,,,,,
"COMPETENCIAS Y TAREAS:
Los  directores  de  recursos  humanos  planifican,  dirigen  y  coordinan  politicas  relativas  al  personal,  a  las relaciones laborales y a las actividades de salud y seguridad en el trabajo de una empresa u organizacion, o de empresas que presten servicios de recursos humanos a otras empresas u organizaciones.
Entre sus tareas se incluyen:
-  planificar,  dirigir  y  coordinar  las  actividades,  politicas  y  practicas  de  una  empresa  u  organizacion  en todo lo relativo al personal y a las relaciones laborales;
-  planificar y organizar los procedimientos destinados a la contratacion, formacion, promocion, traslados y despidos del personal;
-  planificar  y  organizar  las  negociaciones  sobre  fijacion  de  la  escala  y  los  niveles  salariales  y  sobre  la consulta a los trabajadores sobre las condiciones de empleo;
-  controlar los programas y actividades de salud y seguridad y otras cuestiones conexas;
-  establecer  y  gestionar  presupuestos,  controlar  los  gastos  y  asegurar  la  utilizacion  eficiente  de  los recursos;
-  establecer y dirigir los procedimientos operativos y administrativos;
-  controlar la elaboracion y aplicacion de sistemas de informacion de gestion;
-  velar por el cumplimiento de las normas y de la legislacion sobre los derechos de los trabajadores, la salud y seguridad, la igualdad de oportunidades y cuestiones conexas;
-  controlar la seleccion, formacion y rendimiento del personal de toda la empresa u organizacion;
-  consultar con la alta direccion y con los directores de otros departamentos;
-  representar a la empresa u organizacion en las relaciones con entidades externas",,,,,,,,,,
"POSIBLES MENCIONES EN EL CUADRO DE ENFERMEDADES PROFESIONALES:
-  No se contemplan de manera especifica",,,,,,,,,,
Codigo CNO-11: 1212,DIRECTORES DE RECURSOS HUMANOS,,,,,,,,,
REQUERIMIENTOS,GRADO,,,,,REQUERIMIENTOS,GRADO,,,
,1,2,3,4,,,1,2,3,4
Carga fisica,X,,,,,Carga mental,,,,
Carga biomecanica,,,,,,Comunicacion,,,,X
Columna cervical,X,,,,,Atencion al publico,,X,,
Columna dorsolumbar,X,,,,,Toma de decisiones,,,,X
Hombro,X,,,,,Atencion/complejidad,,,,X
Codo,X,,,,,Apremio,,X,,
Mano,X,,,,,Dependencia,X,,,
Cadera,X,,,,,Vision,,,,
Rodilla,X,,,,,Agudeza visual,,,X,
Tobillo/pie,X,,,,,Campo visual,,X,,
Manejo de cargas,X,,,,,Audicion,,X,,
Trabajo de precision,X,,,,,Voz,,,X,
Sedestacion,,,X,,,Sensibilidad,,,,
Bipedestacion,,,,,,Superficial,X,,,
Estatica,X,,,,,Profunda,X,,,
Dinamica,X,,,,,,,,,
Marcha por terreno irregular,X,,,,,,,,,
POSIBLES RIESGOS Y CIRCUNSTANCIAS ESPECIFICAS,,,,,,,,,,
"POSIBLES RIESGOS DERIVADOS DEL AMBIENTE LABORAL:
- No constan",,,,,,,,,,
"POSIBLES RIESGOS DERIVADOS DEL MATERIAL/HERRAMIENTAS DE TRABAJO:
- Utilizacion de pantallas de visualizacion de datos",,,,,,,,,,
"CIRCUNSTANCIAS ESPECIFICAS DEL MEDIO LABORAL:
- Posibilidad de jornada laboral amplia y/o irregular",,,,,,,,,,
,,,,,,,,,,
@ Codigo CNO-11: 1219,DIRECTORES DE POLITICAS Y PLANIFICACION Y DE OTROS DEPARTAMENTOS ADMINISTRATIVOS,,,,,,,,,
"GPR:
F; G; J; L","SECTOR DE ACTIVIDAD (CNAE):
?  En  sector  publico:  84:  Administracion  Publica  y  defensa;  Seguridad Social obligatoria.
?  En   sector   privado:   pueden   desarrollar   su   actividad   en   numerosos sectores de actividad economica",,,,,,,,,
"OCUPACIONES INCLUIDAS:
-  Directores de planificacion corporativa
-  Directores de instalaciones
-  Directores de departamentos de control de calidad
-  Directores de servicios de limpieza",,"OCUPACIONES AFINES NO INCLUIDAS:
-  No constan",,,,,,,,
"REFERENCIAS:
Cualificacion profesional (CNCP):  no existe
Permisos administrativos: no requiere certificacion especifica",,,,,,,,,,
"COMPETENCIAS Y TAREAS:
En este grupo se incluyen los directores de politicas y planificacion los cuales planifican, organizan, dirigen y  coordinan  actividades  de  planificacion  estrategica  y  de  asesoramiento  sobre  politicas  dentro  de  la administracion  publica  o  para  organizaciones  no  gubernamentales  o  entidades  del  sector  privado,  o gestionan   las   actividades   de   empresas   que   prestan   servicios   de   planificacion   estrategica   y   de asesoramiento sobre politicas. Tambien se incluyen los directores de departamentos administrativos y de servicios no clasificados bajo otros epigrafes del subgrupo 121.
Entre sus tareas se incluyen:
-  elaborar,  aplicar  y  supervisar  planes,  programas,  politicas,  procesos,  sistemas  y  procedimientos estrategicos para alcanzar fines u objetivos o cumplir normas de trabajo;  elaborar, dirigir y administrar estudios y analisis de politicas;
-  coordinar la aplicacion de politicas y practicas; establecer medidas de la actividad y mediciones de la responsabilidad;  planificar y dirigir el trabajo diario;
-  dirigir y gestionar las actividades del personal de elaboracion de politicas y de planificacion estrategica;
-  controlar la seleccion, formacion y rendimiento del personal; representar a la empresa u organizacion en  negociaciones,  convenciones,  etc;    realizar  tareas  de  asistencia,  estudio  y  asesoramiento  en  los ambitos administrativo, operativo y de planificacion estrategica a la alta direccion;
-  desarrollar y gestionar los recursos administrativos y fisicos de la organizacion;
-  elaborar y aplicar declaraciones y directrices en materias administrativas y de procedimiento para uso por el personal de la organizacion;
-  analizar cuestiones e iniciativas complejas en relacion con la gestion de los recursos que afecten a la organizacion y preparar los correspondientes informes, correspondencia y documentos;
-  prestar  informacion  y  asistencia  para  la  preparacion  de  informes  financieros  y  dirigir,  gestionar  y formar al personal administrativo.",,,,,,,,,,
"POSIBLES MENCIONES EN EL CUADRO DE ENFERMEDADES PROFESIONALES:
-  No se contemplan de manera especifica",,,,,,,,,,
Codigo CNO-11: 1219,DIRECTORES DE POLITICAS Y PLANIFICACION Y DE OTROS DEPARTAMENTOS ADMINISTRATIVOS,,,,,,,,,
REQUERIMIENTOS,GRADO,,,,,REQUERIMIENTOS,GRADO,,,
,1,2,3,4,,,1,2,3,4
Carga fisica,X,,,,,Carga mental,,,,
Carga biomecanica,,,,,,Comunicacion,,,X,
Columna cervical,X,,,,,Atencion al publico,,X,,
Columna dorsolumbar,X,,,,,Toma de decisiones,,,,X
Hombro,X,,,,,Atencion/complejidad,,,,X
Codo,X,,,,,Apremio,,X,,
Mano,X,,,,,Dependencia,X,,,
Cadera,X,,,,,Vision,,,,
Rodilla,X,,,,,Agudeza visual,,,X,
Tobillo/pie,X,,,,,Campo visual,,X,,
Manejo de cargas,X,,,,,Audicion,,X,,
Trabajo de precision,X,,,,,Voz,,,X,
Sedestacion,,,X,,,Sensibilidad,,,,
Bipedestacion,,,,,,Superficial,X,,,
Estatica,X,,,,,Profunda,X,,,
Dinamica,X,,,,,,,,,
Marcha por terreno irregular,X,,,,,,,,,
POSIBLES RIESGOS Y CIRCUNSTANCIAS ESPECIFICAS,,,,,,,,,,
"POSIBLES RIESGOS DERIVADOS DEL AMBIENTE LABORAL:
- No constan",,,,,,,,,,
"POSIBLES RIESGOS DERIVADOS DEL MATERIAL/HERRAMIENTAS DE TRABAJO:
?  Utilizacion de pantallas de visualizacion de datos",,,,,,,,,,
"CIRCUNSTANCIAS ESPECIFICAS DEL MEDIO LABORAL:
- Posibilidad de jornada laboral amplia y/o irregular",,,,,,,,,,
